date,region,produit,canal,age_client,satisfaction,ventes,cout,profit,quantite,remise,commentaire
2025-01-01,Nord,Alpha,Web,34,4,1240.50,820.10,420.40,12,0.05,"Livraison rapide"
2025-01-02,Sud,Beta,Magasin,52,3,980.00,650.25,329.75,9,0.00,""
2025-01-03,Ouest,Gamma,Web,29,5,1530.25,900.00,630.25,15,0.10,"Très satisfait"
2025-01-04,Est,Alpha,Partenaire,41,2,670.00,520.40,149.60,6,0.00,"Retard de livraison"
2025-01-05,Nord,Delta,Web,23,4,2100.00,1300.00,800.00,20,0.15,"Bon rapport qualité/prix"
2025-01-06,Sud,Beta,Magasin,38,3,1150.75,760.30,390.45,11,0.05,"Service correct"
2025-01-07,Ouest,Gamma,Web,45,4,890.10,610.00,280.10,8,0.00,"Recommande"
2025-01-08,Est,Delta,Partenaire,31,5,1750.00,980.50,769.50,17,0.08,"Excellent"
2025-01-09,Nord,Alpha,Magasin,60,2,540.00,460.20,79.80,5,0.00,"Packaging abîmé"
2025-01-10,Sud,Gamma,Web,27,4,1325.20,845.00,480.20,13,0.12,"Produit conforme"
2025-01-11,Ouest,Beta,Partenaire,36,,1010.00,700.00,310.00,10,0.05,"Satisfaction non renseignée"
2025-01-12,Est,Alpha,Web,48,3,950.00,690.10,259.90,9,0.00,""
2025-01-13,Nord,Delta,Magasin,33,5,2200.00,1400.00,800.00,22,0.10,"Top"
2025-01-14,Sud,Alpha,Web,26,4,1180.30,780.00,400.30,11,0.07,"Livraison OK"
2025-01-15,Ouest,Gamma,Magasin,39,1,430.00,410.00,20.00,4,0.00,"Très déçu"
2025-01-16,Est,Beta,Web,44,4,1275.00,830.00,445.00,12,0.05,"RAS"
2025-01-17,Nord,Gamma,Partenaire,28,3,860.50,610.25,250.25,8,0.00,"Support lent"
2025-01-18,Sud,Delta,Web,55,5,1990.00,1100.00,890.00,19,0.14,"Parfait"
2025-01-19,Ouest,Alpha,Magasin,30,4,1105.00,720.00,385.00,10,0.03,""
2025-01-20,Est,Gamma,Web,37,3,975.60,690.00,285.60,9,0.00,"Moyen"
